Place,State,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990
New York City, NY,33131,60515,96373,123706,202589,312710,515547,813669,942292,1206299,1515301,3437202,4766883,5620048,6930446,7454995,7891957,7781984,7894862,7071639,7322564
Los Angeles, CA,,,,,,,,,,,50395,102479,319198,576673,1238048,1504277,1970358,2479015,2816061,2966850,3485398
Chicago, IL,,,,,,4470,29963,112172,298977,503185,1099850,1698575,2185283,2701705,3376438,3396808,3620962,3550404,3366957,3005072,2783726
Houston, TX,,,,,,,,,,,,44633,78800,138276,292352,384514,596163,938219,1232802,1595138,1630553
Philadelphia, PA,28522,41220,53722,63802,80462,93665,121376,565529,674022,847170,1046964,1293697,1549008,1823779,1950961,1931334,2071605,2002512,1948609,1688210,1585577
San Diego, CA,,,,,,,,,,,,,,74683,147995,203341,334387,573224,696769,875538,1110549
Detroit, MI,,,,,,9102,21019,45619,79577,116340,205876,285704,465766,993078,1568662,1623452,1849568,1670144,1511482,1203339,1027974
Dallas, TX,,,,,,,,,,,38067,42638,92104,158976,260475,294734,434462,679684,844401,904078,1006877
Phoenix, AZ,,,,,,,,,,,,,,,,,106818,439170,581562,789704,983403
San Antonio, TX,,,,,,,,,,20550,37673,53321,96614,161379,231542,253854,408442,587718,654153,785880,935933
San Jose, CA,,,,,,,,,,,,,,,,,,204196,445779,629442,782248
Baltimore, MD,13503,26514,46555,62738,80620,102313,169054,212418,267354,332313,434439,508957,558485,733826,804874,859100,949708,939024,905759,786775,736014
Indianapolis, IN,,,,,,,8091,18611,48244,75056,105436,169164,233650,314194,364161,386972,427173,476258,744624,700807,731327
San Francisco, CA,,,,,,,,56802,149473,233959,298997,342782,416912,506676,634394,634536,775357,740316,715674,678974,723959
Jacksonville, FL,,,,,,,,,,,,,57699,91558,129549,173065,204517,201030,528865,540920,635230
Columbus, OH,,,,,,6048,17882,18554,31274,51647,88150,125560,181511,237031,290564,306087,375901,471316,539677,564871,632910
Milwaukee, WI,,,,,,,20061,45246,71440,115587,204468,285315,373857,457147,578249,587472,637392,741324,717099,636212,628088
Memphis, TN,,,,,,,8841,22623,40226,33592,64495,102320,131105,162351,253143,292942,396000,497524,623530,646356,610337
Washington, DC,,3210,8208,13247,18826,23364,40001,61122,109199,147293,230392,278718,331069,437571,486869,663091,802178,763956,756510,638333,606900
Boston, MA,18320,24937,33787,43298,61392,93383,136881,177840,250526,362839,448477,560892,670585,748060,781188,770816,801444,697197,641071,562994,574283
Seattle, WA,,,,,,,,,,,42837,80671,237194,315312,365583,368302,467591,557087,530831,493846,516259
El Paso, TX,,,,,,,,,,,,,,77560,102421,96810,130485,276687,322261,425259,515342
Cleveland, OH,,,,,,6071,17034,43417,92829,160146,261353,381768,560663,796841,900429,878336,914808,876050,750903,573822,505616
New Orleans, LA,,,17242,27176,46082,102193,116375,168675,191418,216090,242039,287104,339075,387219,458762,494537,570445,627525,593471,557515,496938
Nashville-Davidson, TN,,,,,,,,,,,,,,,,,,,448003,455651,488374
Denver, CO,,,,,,,,,,35629,106713,133859,213381,256491,287861,322412,415786,493887,514678,492365,467610
Austin, TX,,,,,,,,,,,,,,,,,132459,186545,251808,345496,465622
Fort Worth, TX,,,,,,,,,,,,,73312,106482,163447,177662,278778,356268,393476,385164,447619
Oklahoma City, OK,,,,,,,,,,,,,64205,91295,185389,204424,243504,324253,366481,403213,444719
Portland, OR,,,,,,,,,,,46385,90426,207214,258288,301815,305394,373628,372676,382619,366383,437319
Kansas City, MO,,,,,,,,,32260,55785,132716,163752,248381,324410,399746,399178,456622,475539,507087,448159,435146
Long Beach, CA,,,,,,,,,,,,,,,142032,164271,250767,344168,358633,361334,429433
Tucson, AZ,,,,,,,,,,,,,,,,,,212892,262933,330537,405390
St. Louis, MO,,,,,4977,16469,77860,160773,310864,350518,451770,575238,687029,772897,821960,816048,856796,750026,622236,453085,396685
Charlotte, NC,,,,,,,,,,,,,,,,100899,134042,201564,241178,314447,395934
Atlanta, GA,,,,,,,,9554,21789,37409,65533,89872,154839,200616,270366,302288,331314,487455,496973,425022,394017
Virginia Beach, VA,,,,,,,,,,,,,,,,,,,172106,262199,393069
Albuquerque, NM,,,,,,,,,,,,,,,,,,201189,243751,331767,384736
Oakland, CA,,,,,,,,,,34555,48682,66960,150174,216261,284063,302163,384575,367548,361561,339337,372242
Pittsburgh, PA,,,4768,7248,12568,21115,46601,49221,86076,156389,238617,321616,533905,588343,669817,671659,676806,604332,520117,423938,369879
Sacramento, CA,,,,,,,,13785,16283,21420,,,,,93750,105958,137572,191667,254413,275741,369365
Minneapolis, MN,,,,,,,,,,46887,164738,202718,301408,380582,464356,492370,521718,482872,434400,370951,368383
Tulsa, OK,,,,,,,,,,,,,,72075,141258,142157,182740,261685,331638,360919,367302
Honolulu, HI,,,,,,,,,,,,,,,,,,294194,324871,365048,365272
Cincinnati, OH,,,2540,9642,24831,46338,115435,161044,216239,255139,296908,325902,363591,401247,451160,455610,503998,502550,452524,385457,364040
Miami, FL,,,,,,,,,,,,,,,110637,172172,249276,291688,334859,346865,358548
Fresno, CA,,,,,,,,,,,,,,,,,,133929,165972,218202,354202
Omaha, NE,,,,,,,,,16083,30518,140452,102555,124096,191601,214006,223844,251117,301598,347328,314255,335795
Toledo, OH,,,,,,,,13768,31584,50137,81434,131822,168497,243164,290718,282349,303616,318003,383818,354635,332943
Buffalo, NY,,,,,8668,18213,42261,81129,117714,155134,255664,352387,423715,506775,573076,575901,580132,532759,462768,357870,328123
Wichita, KS,,,,,,,,,,,,,,72217,111110,114966,168279,254698,276554,279272,304011
Santa Ana, CA,,,,,,,,,,,,,,,,,,,156601,203713,293742
Mesa, AZ,,,,,,,,,,,,,,,,,,,,,288091
Colorado Springs, CO,,,,,,,,,,,,,,,,,,,,215150,281140
Tampa, FL,,,,,,,,,,,,,,,101161,108391,124681,274970,277767,271523,280015
Newark, NJ,,,,,10953,17290,38894,71941,105059,136508,181830,246070,347469,414524,442337,429760,438776,405220,382417,329248,275221
Saint Paul, MN,,,,,,,,10401,20030,41473,133156,163065,214744,234698,271606,287736,311349,313411,309980,270230,272235
Louisville, KY,,,,4012,10341,21210,43194,68033,100753,123758,161129,204731,223928,234891,307745,319077,369129,390639,361472,298451,269063
Anaheim, CA,,,,,,,,,,,,,,,,,,,166701,219311,266406
Birmingham, AL,,,,,,,,,,,,38415,132685,178806,259678,267583,326037,340887,300910,284413,265968
Arlington, TX,,,,,,,,,,,,,,,,,,,,160113,261721
Norfolk, VA,2959,6926,9193,8478,9814,10920,14326,14620,19229,21966,34871,46624,67452,115777,129710,144332,213513,305872,307951,266979,261229
Las Vegas, NV,,,,,,,,,,,,,,,,,,,,164674,258295
Corpus Christi, TX,,,,,,,,,,,,,,,,,108287,167690,204525,231999,257453
St. Petersburg, FL,,,,,,,,,,,,,,,,,,181298,216232,238647,238629
Rochester, NY,,,,,9207,20191,36403,48204,62386,89366,133896,162608,218149,295750,328132,324975,332488,318611,296233,241741,231636
Jersey City, NJ,,,,,,,,29226,82546,120722,163003,206433,267779,298103,316715,301173,299017,276101,260545,223532,228537
Riverside, CA,,,,,,,,,,,,,,,,,,,140089,170876,226505
Anchorage, AK,,,,,,,,,,,,,,,,,,,,174431,226338
Lexington, KY,,,4326,5279,6026,6997,8159,,,,,,,,,,,,,204165,225366
Akron, OH,,,,,,,,,,,,42728,69067,208435,255040,244791,274605,290351,275425,237177,223019
Aurora, CO,,,,,,,,,,,,,,,,,,,,158588,222103
Baton Rouge, LA,,,,,,,,,,,,,,,,,125629,152419,165963,219419,219531
Stockton, CA,,,,,,,,,,,,,,,,,,,,,210943
Raleigh, NC,,,,2674,,,,,,,,,,,,,,,,,207951
Richmond, VA,3761,5737,9735,12067,16060,20153,27570,37910,51038,63600,81388,85050,127628,171667,182929,193042,230310,219958,249621,219214,203056
Shreveport, LA,,,,,,,,,,,,,,,,98167,127206,164372,182064,205820,198525
Jackson, MS,,,,,,,,,,,,,,,,,,144422,153968,202895,196637
Mobile, AL,,,,,3194,12672,20515,29258,32034,29132,31076,38469,,,,,129009,202779,190026,200452,196278
Des Moines, IA,,,,,,,,,,22408,50093,62139,86368,126468,142559,159819,177965,208982,200587,191003,193187
Lincoln, NE,,,,,,,,,,,55154,40169,,,,,,128521,149518,171932,191972
Madison, WI,,,,,,,,,,,,,,,,,,126706,173258,170616,191262
Grand Rapids, MI,,,,,,,,,16507,32016,60278,87565,112571,137634,168592,164292,176515,177313,197649,181843,189126
Yonkers, NY,,,,,,,,,,,32033,47931,79803,100176,134646,142598,152798,190634,204297,195351,188082
Hialeah, FL,,,,,,,,,,,,,,,,,,,,,188004
Montgomery, AL,,,,,,,8728,,,,,,,,,,,134393,,177857,187106
Lubbock, TX,,,,,,,,,,,,,,,,,,128691,149101,173979,186206
Greensboro, NC,,,,,,,,,,,,,,,,,,119574,144076,,183521
